Name,Links,Cost,Cuisines,Timings,Open_Hours,Open_Days
Feast - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,2500,"['ModernIndian', 'Asian', 'Continental', 'Italian']","6:30AM to 10:30AM, 12:30PM to 3PM, 7PM to 11PM (Mon),6:30AM to 10:30AM, 12:30PM to 3PM, 7:30PM to 11PM (Tue-Sat),6:30AM to 10:30AM, 12:30PM to 3:30PM, 7PM to 11PM (Sun)","6:30AM to 10:30AM, 12:30PM to 3PM, 7PM to 11PM. 6:30AM to 10:30AM, 12:30PM to 3PM, 7:30PM to 11PM. 6:30AM to 10:30AM, 12:30PM to 3:30PM, 7PM to 11PM","Mon. Tue, Wed, Thu, Fri, Sat. Sun"
Being Hungry,https://www.zomato.com/hyderabad/being-hungry-gachibowli,450,"['NorthIndian', 'Chinese']","12 PM to 3 PM, 7 PM to 11:30 PM","12 PM to 3 PM, 7 PM to 11:30 PM",
Tempteys,https://www.zomato.com/hyderabad/tempteys-gachibowli,350,"['Desserts', 'Beverages']",11:30 AM to 1 AM,11:30 AM to 1 AM,
KS Bakers,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,200,"['Bakery', 'Desserts', 'FastFood']",9 AM to 10 PM,9 AM to 10 PM,
PourHouse7,https://www.zomato.com/hyderabad/pourhouse7-gachibowli,1200,"['NorthIndian', 'Continental', 'Chinese', 'Italian']","12 PM to 12 AM (Mon-Thu, Sun), 12 PM to 1 AM (Fri-Sat)",12 PM to 12 AM. 12 PM to 1 AM,"Mon, Tue, Wed, Thu, Sun. Fri, Sat"
Prism Club & Kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,1200,"['Kebab', 'Continental', 'Italian', 'NorthIndian']",5PM to 12AM (Mon-Sun),5PM to 12AM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Shree Santosh Dhaba Family Restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500,"['NorthIndian', 'Chinese', 'FastFood']",11 AM to 11:30 PM,11 AM to 11:30 PM,
Dine O China,https://www.zomato.com/hyderabad/dine-o-china-gachibowli,850,"['Chinese', 'Asian', 'Momos']",11:30AM to 11PM (Mon-Sun),11:30AM to 11PM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Hyderabad Chefs,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,600,"['NorthIndian', 'Chinese']",12 PM to 10:30 PM,12 PM to 10:30 PM,
Komatose - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,1500,"['NorthIndian', 'Chinese', 'Japanese', 'Sushi']",1 PM to 11 PM,1 PM to 11 PM,
Aromas@11SIX,https://www.zomato.com/hyderabad/aromas11six-gachibowli,750,"['NorthIndian', 'Chinese', 'Mughlai', 'Biryani']",11:30 AM to 12 AM,11:30 AM to 12 AM,
Yum Yum Tree - The Arabian Food Court,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,1200,"['NorthIndian', 'Hyderabadi']",12 PM to 12 AM,12 PM to 12 AM,
The Tilt Bar Republic,https://www.zomato.com/thetiltbarrepublic,1500,"['NorthIndian', 'Continental', 'Italian']",12PM to 12AM (Mon-Sun),12PM to 12AM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
The Indi Grill,https://www.zomato.com/hyderabad/the-indi-grill-gachibowli,1500,"['BBQ', 'Asian', 'ModernIndian']",12PM to 11PM (Mon-Sun),12PM to 11PM,"Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Urban Asia - Kitchen & Bar,https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli,1100,"['Asian', 'Thai', 'Chinese', 'Sushi', 'Momos']","12 PM to 3 PM, 7 PM to 11 PM","12 PM to 3 PM, 7 PM to 11 PM",
